puzzleid,red_list,green_list,blue_list,stars
12796,43,41,53,36
12795,13,15,108,10
12794,2,9,9,2
12793,42,3,42,18
12792,11,1,94,104
12789,0,0,64,47
12788,6,10,89,103
12787,2,4,66,1
12786,192,0,0,16
12785,0,18,98,115
12784,2,21,135,47
12783,15,10,76,100
12782,8,2,48,52
12781,0,0,84,67
12780,24,0,48,35
12779,30,2,32,48
12778,4,30,94,127
12777,5,0,82,1
12776,3,4,66,72
12775,6,5,81,7
12774,6,3,46,7
12773,0,11,54,12
12772,0,0,20,1
12771,1,0,75,60
12770,4,4,94,101
12769,4,2,70,70
12768,5,17,91,112
12767,23,17,44,11
12766,18,17,44,11
12765,0,0,192,59
12764,75,0,28,31
12763,15,11,126,151
12762,59,16,28,15
12761,15,11,126,151
12760,16,16,71,15
12759,27,30,67,65
12758,5,0,108,112
12756,9,70,60,138
12755,39,4,87,129
12754,51,5,58,113
12753,8,0,75,82
12752,10,25,48,12
12751,10,7,91,106
12750,5,6,63,73
12749,29,4,0,4
12748,0,57,101,157
12747,4,16,91,110
12746,52,32,100,183
12745,0,9,96,104
12744,0,4,130,133
12743,6,6,72,18
12742,48,44,16,107
12741,20,16,96,131
12740,0,0,87,15
12739,24,8,98,129
12738,7,19,77,102
12737,16,4,91,110
12736,16,27,31,16
12735,54,0,0,6
12734,8,40,88,135
12733,0,28,100,70
12732,0,48,84,131
12731,48,0,96,112
12730,1,2,71,7
12728,16,16,62,93
12727,1,10,76,3
12726,1,3,13,14
12725,4,1,21,4
12724,8,36,1,44
12723,0,96,96,189
12722,12,5,52,32
12721,6,8,75,11
12720,16,5,54,16
12717,11,2,36,36
12715,12,0,78,89
12714,15,0,59,1
12713,0,4,52,35
12712,10,7,86,94
12711,12,2,2,2
12710,12,3,1,2
12709,2,0,20,1
12708,2,2,22,2
12707,20,1,0,3
12706,23,157,12,191
12705,22,131,3,24
12704,11,8,77,95
12703,8,1,61,69
12702,18,0,92,109
12701,12,49,50,110
12700,70,20,10,99
12699,9,29,58,21
12698,29,0,120,147
12697,1,3,15,2
12696,18,9,104,130
12694,4,0,68,71
12693,15,2,87,103
12692,84,4,20,107
12691,0,25,112,136
12690,42,29,36,1
12689,4,17,59,7
12688,29,0,5,33
12687,36,11,12,13
12686,3,2,10,1
12685,0,1,78,1
12684,16,16,73,104
12683,0,0,82,81
12682,10,21,96,126
12681,2,1,16,1
12680,1,20,67,87
12679,6,1,56,1
12678,2,1,9,2
12677,5,0,84,88
12676,14,12,78,102
12675,32,36,16,47
12674,16,0,132,103
12673,0,28,100,127
12672,37,87,16,102
12671,12,0,71,82
12670,12,0,71,82
12669,7,8,64,78
12668,14,8,103,109
12667,0,0,60,59
12666,12,11,59,81
12665,3,2,26,1
12664,0,23,16,15
12663,1,7,40,30
12662,0,10,29,10
12661,16,16,94,125
12660,11,66,1,23
12659,94,7,18,118
12658,15,5,55,74
12657,8,0,97,104
12656,36,4,64,103
12655,7,0,121,127
12654,16,14,14,43
12653,4,9,37,49
12652,3,0,44,46
12651,28,14,49,3
12650,2,8,80,89
12649,5,14,89,107
12648,9,14,89,111
12647,18,21,19,1
12646,10,1,95,105
12645,3,11,50,63
12644,4,12,83,98
12643,11,4,98,112
12642,29,1,162,19
12641,13,12,151,1
12640,16,130,19,1
12639,8,1,131,1
12638,23,4,73,99
12637,6,4,102,111
12636,5,2,68,4
12635,0,4,111,114
12634,2,4,6,6
12633,0,1,20,3
12632,7,11,72,28
12631,9,77,21,106
12630,12,0,98,109
