hostname,letter,name,discmethod,disc,orbper,bmasse,rade,dens,ra,dec,dist,optmag,optmagband,nirmag,nirmagerr,teff,logg,lum,mass,rad,age
11 Com,b,11 Com b,Radial Velocity,2007,326.03,6165.6,12.1,19.1,185.179276,17.792868,93.37,4.74,V (Johnson),2.282,0.346,4742,2.31,2.243,2.7,19,
11 UMi,b,11 UMi b,Radial Velocity,2009,516.21997,4684.8142,12.3,13.8,229.274536,71.823898,125.72,5.016,V (Johnson),1.939,0.27,4213,1.93,2.43,2.78,29.79,1.56
14 And,b,14 And b,Radial Velocity,2008,185.84,1525.5,12.9,3.9,352.822571,39.236198,75.59,5.227,V (Johnson),2.331,0.24,4813,2.63,1.763,2.2,11,4.5
14 Her,b,14 Her b,Radial Velocity,2002,1773.40002,1481.0878,12.9,3.79,242.601303,43.817646,17.94,6.61,V (Johnson),4.714,0.016,5338,4.45,-0.151,0.9,0.93,5.24
16 Cyg B,b,16 Cyg B b,Radial Velocity,1996,798.5,565.7374,13.5,1.26,295.466553,50.517525,21.15,6.25,V (Johnson),4.651,0.016,5750,4.36,0.1,1.08,1.13,7.4
18 Del,b,18 Del b,Radial Velocity,2008,993.3,3273.5,12.5,9.21,314.608063,10.839286,76.38,5.506,V (Johnson),3.366,0.204,4979,2.82,1.602,2.3,8.5,1.1
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,2008,,3000,18.647,2.54,242.376268,-21.083036,145,12.057,G (Gaia),8.916,0.021,4060,,-0.37,0.85,1.18,0.005
24 Boo,b,24 Boo b,Radial Velocity,2018,30.3506,289.2253,13.9,0.592,217.157547,49.844852,96.25,5.58,V (Johnson),3.159,0.28,4893,2.42,1.774,0.99,10.64,6.92
24 Sex,b,24 Sex b,Radial Velocity,2010,452.8,632.46,13.4,1.44,155.86821,-0.902244,72.21,6.441,V (Johnson),4.285,0.016,5098,3.5,1.164,1.54,4.9,2.7
24 Sex,c,24 Sex c,Radial Velocity,2010,883,273.32,13.9,0.559,155.86821,-0.902244,72.21,6.441,V (Johnson),4.285,0.016,5098,3.5,1.164,1.54,4.9,2.7
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,2013,,7786.5,11.209,30.4,20.712243,-24.664049,36,14.24,V (Johnson),9.198,0.024,3530,,-1.72,0.4,,0.12
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,2015,,4417.837,16.141,5.77,34.842106,-39.422928,39.4,15.012,G (Gaia),10.404,0.023,3064,4.59,-2.23,0.11,0.28,0.035
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,2010,,2383.6,12.6,6.55,70.437073,23.030941,140,18.967,G (Gaia),13.161,0.025,,,,0.02,,0.001
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,2004,,1271,13,3.18,181.889447,-39.548332,64.42,20.15,V (Johnson),11.945,0.026,,,,0.02,,0.008
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,416,603.877,13.4,1.38,294.635865,46.066418,400.77,12.138,G (Gaia),12.955,0.029,10868,3.91,0.168,0.48,0.34,
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,2009,7336.5,6657.48,10.31,33.4,325.122159,16.421759,25,17.396,G (Gaia),11.826,0.031,2300,,-3.48,0.08,0.12,
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,2016,,3972.875,12.3,11.7,339.102203,47.86182,74,12.51,V (Johnson),9.148,0.016,4045,,-1.021,0.6,0.62,0.12
30 Ari B,b,30 Ari B b,Radial Velocity,2009,335.10001,4392.4106,12.3,13,39.240585,24.648064,44.71,6.962,V (Johnson),5.822,0.021,6331,4.43,0.381,1.93,1.41,0.91
4 UMa,b,4 UMa b,Radial Velocity,2006,269.3,2256.5,12.7,6.05,130.053406,64.327934,73.58,4.61,V (Johnson),1.734,0.218,4415,1.8,2.062,1.23,18.11,4.604
