rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
1,11 Com,11 Com b,2007,326.03,1.29,0.231,6165.6,19.4,12.1,1.08,0.111,19.1,,93.37,4742,2.31,2.243,2.7,19,-0.35,
2,11 UMi,11 UMi b,2009,516.21997,1.53,0.08,4684.8142,14.74,12.3,1.09,0.112,13.8,,125.72,4213,1.93,2.43,2.78,29.79,-0.02,1.56
3,14 And,14 And b,2008,185.84,0.83,0,1525.5,4.8,12.9,1.15,0.118,3.9,,75.59,4813,2.63,1.763,2.2,11,-0.24,4.5
4,14 Her,14 Her b,2002,1773.40002,2.93,0.37,1481.0878,4.66,12.9,1.15,0.118,3.79,,17.94,5338,4.45,-0.151,0.9,0.93,0.41,5.24
5,16 Cyg B,16 Cyg B b,1996,798.5,1.66,0.68,565.7374,1.78,13.5,1.2,0.123,1.26,,21.15,5750,4.36,0.1,1.08,1.13,0.06,7.4
6,18 Del,18 Del b,2008,993.3,2.6,0.08,3273.5,10.3,12.5,1.11,0.114,9.21,,76.38,4979,2.82,1.602,2.3,8.5,-0.052,1.1
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,2008,,330,,3000,8,18.647,1.664,0.171,2.54,1700,145,4060,,-0.37,0.85,1.18,,0.005
8,24 Boo,24 Boo b,2018,30.3506,0.19,0.042,289.2253,0.91,13.9,1.24,0.127,0.592,,96.25,4893,2.42,1.774,0.99,10.64,-0.77,6.92
9,24 Sex,24 Sex b,2010,452.8,1.333,0.09,632.46,1.99,13.4,1.19,0.123,1.44,,72.21,5098,3.5,1.164,1.54,4.9,-0.03,2.7
10,24 Sex,24 Sex c,2010,883,2.08,0.29,273.32,0.86,13.9,1.24,0.127,0.559,,72.21,5098,3.5,1.164,1.54,4.9,-0.03,2.7
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,2013,,52,,7786.5,24.5,11.209,1,0.103,30.4,1600,36,3530,,-1.72,0.4,,,0.12
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,2015,,156,,4417.837,13.9,16.141,1.44,0.148,5.77,,39.4,3064,4.59,-2.23,0.11,0.28,,0.035
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,2010,,15,,2383.6,7.5,12.6,1.13,0.116,6.55,,140,,,,0.02,,,0.001
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,2004,,46,,1271,4,13,1.16,0.119,3.18,1150,64.42,,,,0.02,,,0.008
