host_star_name,exoplanet_name,disc_year,earth_mass,earth_radii,solar_mass,solar_rad,dist_parsec,orbital_period
11 Com,11 Com b,2007,6165.6,12.1,2.7,19,93.37,326.03
11 UMi,11 UMi b,2009,4684.8142,12.3,2.78,29.79,125.72,516.21997
14 And,14 And b,2008,1525.5,12.9,2.2,11,75.59,185.84
14 Her,14 Her b,2002,1481.0878,12.9,0.9,0.93,17.94,1773.40002
16 Cyg B,16 Cyg B b,1996,565.7374,13.5,1.08,1.13,21.15,798.5
18 Del,18 Del b,2008,3273.5,12.5,2.3,8.5,76.38,993.3
1RXS J160929.1-210524,1RXS J160929.1-210524 b,2008,3000,18.647,0.85,1.18,145,
24 Boo,24 Boo b,2018,289.2253,13.9,0.99,10.64,96.25,30.3506
24 Sex,24 Sex b,2010,632.46,13.4,1.54,4.9,72.21,452.8
24 Sex,24 Sex c,2010,273.32,13.9,1.54,4.9,72.21,883
2MASS J01225093-2439505,2MASS J01225093-2439505 b,2013,7786.5,11.209,0.4,,36,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,2015,4417.837,16.141,0.11,0.28,39.4,
2MASS J04414489+2301513,2MASS J04414489+2301513 b,2010,2383.6,12.6,0.02,,140,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,2004,1271,13,0.02,,64.42,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,2015,603.877,13.4,0.48,0.34,400.77,416
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,2009,6657.48,10.31,0.08,0.12,25,7336.5
2MASS J22362452+4751425,2MASS J22362452+4751425 b,2016,3972.875,12.3,0.6,0.62,74,
30 Ari B,30 Ari B b,2009,4392.4106,12.3,1.93,1.41,44.71,335.10001
4 UMa,4 UMa b,2006,2256.5,12.7,1.23,18.11,73.58,269.3
42 Dra,42 Dra b,2008,1233.13,13,0.98,22.03,90.86,479.1
47 UMa,47 UMa b,1996,804.08,13.2,1.03,1.23,13.8,1078
47 UMa,47 UMa c,2001,171.621,14.2,1.03,1.23,13.8,2391
47 UMa,47 UMa d,2009,521.22,13.5,1.03,1.23,13.8,14002
51 Eri,51 Eri b,2015,635.66,13.4,1.75,1.56,29.4,11688
51 Peg,51 Peg b,1995,146.2018,14.3,1.12,1.2,15.47,4.230785
55 Cnc,55 Cnc b,1996,263.9785,13.9,0.91,0.94,12.59,14.65152
55 Cnc,55 Cnc c,2004,54.4738,8.51,0.91,0.94,12.59,44.4175
55 Cnc,55 Cnc d,2002,1232.493,13,0.91,0.94,12.59,4825
55 Cnc,55 Cnc e,2004,8.08,1.91,0.91,0.94,12.59,0.736539
55 Cnc,55 Cnc f,2007,44.812,7.59,0.91,0.94,12.59,262
6 Lyn,6 Lyn b,2008,638.8383,13.4,1.44,5.2,54.74,934.3
61 Vir,61 Vir b,2009,5.1,2.11,0.94,0.96,8.51,4.215
61 Vir,61 Vir c,2009,18.2,4.46,0.94,0.96,8.51,38.021
61 Vir,61 Vir d,2009,22.9,5.11,0.94,0.96,8.51,123.01
7 CMa,7 CMa b,2011,587.9855,13.4,1.34,4.87,19.82,735.1
7 CMa,7 CMa c,2019,276.5121,13.9,1.34,4.87,19.82,996
70 Vir,70 Vir b,1996,2380.45,12.6,1.09,1.89,17.91,116.688
75 Cet,75 Cet b,2012,953.49,13.1,2.49,10.5,83.15,691.9
8 UMi,8 UMi b,2015,416.3573,13.6,1.44,10.3,163.32,93.4
81 Cet,81 Cet b,2008,1684.4,12.8,2.4,11,101.53,952.7
91 Aqr,91 Aqr b,2013,1017,13.1,1.4,11,44.08,181.4
AB Pic,AB Pic b,2005,4290.5,12.3,0.9,1,50.12,
BD+03 2562,BD+03 2562 b,2017,2034.112,12.7,1.14,32.35,2618,481.9
BD+14 4559,BD+14 4559 b,2009,330.5432,13.8,0.49,0.86,49.42,268.94
BD+15 2375,BD+15 2375 b,2016,337.21763,13.8,1.08,8.95,774,153.22
BD+15 2940,BD+15 2940 b,2013,352.78,13.7,1.1,14.7,431.61,137.48
BD+20 2457,BD+20 2457 b,2009,17668.1697,11.6,10.83,71.02,1670.85,379.63
BD+20 2457,BD+20 2457 c,2009,3963.17,12.4,10.83,71.02,1670.85,621.99
BD+20 274,BD+20 274 b,2012,1334.886,13,0.8,17.3,1383.85,578.2
BD+20 594,BD+20 594 b,2016,22.2481,2.578,1.67,1.08,180.39,41.6855
BD+48 738,BD+48 738 b,2011,289.2253,13.9,0.74,11,892.17,392.6
BD+48 740,BD+48 740 b,2018,540.311,13.5,1.09,10.33,678.94,733
BD+49 828,BD+49 828 b,2015,508.5,13.5,1.52,7.6,447.59,2590
BD-06 1339,BD-06 1339 b,2013,8.5,2.85,0.7,0.67,20.28,3.8728
BD-06 1339,BD-06 1339 c,2013,53,8.38,0.7,0.67,20.28,125.94
BD-08 2823,BD-08 2823 b,2009,12.7132,3.61,0.5,0.71,41.38,5.6
BD-08 2823,BD-08 2823 c,2009,104,12.5,0.5,0.71,41.38,237.6
BD-10 3166,BD-10 3166 b,2000,187.5197,14.1,1.47,0.91,84.61,3.48777
BD-11 4672,BD-11 4672 b,2014,168.44,14.2,0.57,0.52,27.3,1667
BD-13 2130,BD-13 2130 b,2007,3108.3774,12.5,2.12,19.17,948.75,714.29999
BD-17 63,BD-17 63 b,2008,1620.9,12.8,0.74,0.69,34.49,655.6
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,2011,3337.1,12.4,0.02,,23.1,10037.5
CHXR 73,CHXR 73 b,2006,3994.486,12.3,0.35,,191.05,
CI Tau,CI Tau b,2019,3686.828,12.4,0.9,1.88,158,8.9891
CT Cha,CT Cha b,2007,5403,24.66,,1.68,165,
CoRoT-1,CoRoT-1 b,2008,327.35,16.7,0.95,1.11,805.31,1.5089557
CoRoT-10,CoRoT-10 b,2010,874,10.87,0.89,0.79,345,13.2406
CoRoT-11,CoRoT-11 b,2010,740.51,16.03,1.27,1.37,560,2.99433
CoRoT-12,CoRoT-12 b,2010,291.438,16.14,1.08,1.12,1150,2.828042
CoRoT-13,CoRoT-13 b,2010,415.704,9.92,1.09,1.01,1060,4.03519
CoRoT-14,CoRoT-14 b,2010,2415.4,12.22,1.13,1.21,1340,1.51214
CoRoT-16,CoRoT-16 b,2011,170.032,13.11,1.1,1.19,840,5.35227
CoRoT-17,CoRoT-17 b,2011,772.29,11.43,1.04,1.59,920,3.7681
CoRoT-18,CoRoT-18 b,2011,1102.82,14.68,0.95,1,870,1.9000693
CoRoT-19,CoRoT-19 b,2011,352.78,14.46,1.21,1.65,770,3.89713
CoRoT-2,CoRoT-2 b,2008,1102.82,16.432,0.96,0.91,200,1.7429935
CoRoT-20,CoRoT-20 b,2011,1366.669,9.416,1.14,1.37,864.31,9.24285
CoRoT-20,CoRoT-20 c,2018,5403.11,12.2,1.14,1.37,864.31,1675
CoRoT-21,CoRoT-21 b,2012,718.2958,14.572,1.29,1.95,1398.83,2.72474
CoRoT-22,CoRoT-22 b,2014,12.2,4.88,1.1,1.14,592,9.75598
CoRoT-23,CoRoT-23 b,2011,889.9,11.77,1.14,1.61,600,3.6313
CoRoT-24,CoRoT-24 b,2014,5.7,3.7,0.91,0.86,600,5.1134
CoRoT-24,CoRoT-24 c,2014,28,5,0.91,0.86,600,11.759
CoRoT-25,CoRoT-25 b,2013,85.81,12.11,1.09,1.19,1000,4.86069
CoRoT-26,CoRoT-26 b,2013,165.26,14.12,1.09,1.79,1670,4.20474
CoRoT-27,CoRoT-27 b,2014,3302.11,11.287,1.05,1.08,1035.15,3.57532
CoRoT-28,CoRoT-28 b,2015,153.82972,10.705,1.01,1.78,560,5.20851
CoRoT-29,CoRoT-29 b,2015,270.1555,10.088,0.97,0.9,765,2.85057
CoRoT-3,CoRoT-3 b,2008,6883.91,11.32,1.37,1.56,680,4.2568
CoRoT-4,CoRoT-4 b,2008,228.83,13.34,1.16,1.17,741.6,9.20205
CoRoT-5,CoRoT-5 b,2009,148.42,15.558,1,1.19,904.65,4.0378962
CoRoT-6,CoRoT-6 b,2009,940.74,13.068,1.05,1.02,657.24,8.886593
CoRoT-7,CoRoT-7 b,2009,3.1783,1.681,0.82,0.83,160.64,0.85359163
CoRoT-7,CoRoT-7 c,2009,8.4,2.83,0.82,0.83,160.64,3.698
CoRoT-8,CoRoT-8 b,2010,69.92,6.39,0.88,0.77,380,6.21229
CoRoT-9,CoRoT-9 b,2009,266.9772,11.949,0.96,0.96,417.89,95.272656
CoRoTID 223977153,CoRoTID 223977153 b,2017,47.6745,6.389,1.08,0.79,586.2,6.71837
DE CVn,DE CVn b,2018,3823.2733,12.4,0.51,,30.55,4098.1
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,2013,9057.77,11.9,0.07,,20.77,246.36
DH Tau,DH Tau b,2004,3496,30.264,0.33,0.27,140,
DP Leo,DP Leo b,2009,1995.88832,12.7,0.69,0.01,305.06,10220
DS Tuc A,DS Tuc A b,2019,413.179,5.7,1.01,0.96,44.12,8.138268
EPIC 201238110,EPIC 201238110 b,2019,4.16,1.87,0.41,,159.98,28.1656
EPIC 201497682,EPIC 201497682 b,2019,0.26,0.692,0.78,0.55,254.88,2.13174
K2-166,EPIC 201615463 c,2019,1.98,1.22,1.07,1.6,481,3.80464
K2-16,EPIC 201754305 d,2019,1.08,1.03,0.67,0.54,338.19,2.71578
K2-50,EPIC 201833600 c,2019,0.972,1,0.61,0.63,259.33,3.96151
EPIC 201841433,EPIC 201841433 b,2019,1.37,1.1,0.8,0.63,441.94,4.16959
K2-168,EPIC 205950854 c,2019,2.27,1.31,0.88,0.83,245.56,8.050722
EPIC 206024342,EPIC 206024342 b,2019,3.53,1.7,0.93,0.82,373.81,4.50756
EPIC 206032309,EPIC 206032309 b,2019,1.01,1.01,0.22,,162.09,2.87814
EPIC 206042996,EPIC 206042996 b,2019,3.26,1.62,0.56,0.67,457.27,5.29711
EPIC 206215704,EPIC 206215704 b,2019,0.666,0.9,0.41,,110.22,2.25372
EPIC 206317286,EPIC 206317286 b,2019,0.84,0.96,0.71,0.67,317.2,1.58252
EPIC 211822797,EPIC 211822797 b,2016,4.58,1.98,0.66,0.57,187.19,21.169861
EPIC 211945201,EPIC 211945201 b,2018,27,5.76,1.17,1.39,182.69,19.49221
EPIC 212297394,EPIC 212297394 b,2019,2.31,1.323,0.83,0.75,423.35,2.28943
EPIC 212424622,EPIC 212424622 b,2019,5.35,2.17,1.11,1.22,622.67,18.0983
EPIC 212499991,EPIC 212499991 b,2019,3.19,1.6,0.91,0.76,285.61,34.885
EPIC 212587672,EPIC 212587672 b,2019,1.46,1.12,0.95,0.98,322.88,15.2841
EPIC 212737443,EPIC 212737443 b,2019,7.2,2.586,0.69,0.67,347.45,13.603
EPIC 212737443,EPIC 212737443 c,2019,7.7,2.69,0.69,0.67,347.45,65.55
K2-282,EPIC 220554210 c,2019,2.79,1.48,0.94,0.94,502.28,0.70531
EPIC 220674823,EPIC 220674823 b,2016,7.72,1.82,0.97,0.98,246.1,0.571331
EPIC 220674823,EPIC 220674823 c,2016,5.8,2.73,0.97,0.98,246.1,13.339079
EPIC 246851721,EPIC 246851721 b,2018,953.49,11.781,1.32,1.59,336.7,6.180235
EPIC 248847494,EPIC 248847494 b,2018,4131.79,12.442,0.9,2.7,560,3650
FU Tau,FU Tau b,2008,5085.28,12.2,0.05,,140,
Fomalhaut,Fomalhaut b,2008,826.3,13.5,1.92,1.92,7.7,555530
GJ 1132,GJ 1132 b,2015,1.66,1.16,0.18,0.21,12.62,1.628931
GJ 1132,GJ 1132 c,2018,2.64,1.43,0.18,0.21,12.62,8.929
GJ 1148,GJ 1148 b,2010,96.7,11.9,0.35,0.4,11.02,41.38
GJ 1148,GJ 1148 c,2017,68.06,9.71,0.35,0.4,11.02,532.58
GJ 1214,GJ 1214 b,2009,6.26125,2.847,0.15,0.22,14.65,1.58040456
GJ 1265,GJ 1265 b,2018,7.4,2.63,0.18,0.19,10.26,3.6511
GJ 143,GJ 143 b,2019,22.7,2.61,0.73,0.69,16.33,35.61253
GJ 15 A,GJ 15 A b,2014,3.03,1.55,0.38,0.38,3.56,11.4407
GJ 15 A,GJ 15 A c,2018,36,6.67,0.38,0.38,3.56,7600
GJ 160.2,GJ 160.2 b,2014,10.2,3.17,0.69,0.66,25.88,5.2354
GJ 163,GJ 163 b,2013,10.6,3.25,0.4,0.43,15.14,8.63182
GJ 163,GJ 163 c,2013,6.8,2.5,0.4,0.43,15.14,25.63058
GJ 163,GJ 163 d,2013,29.4,5.92,0.4,0.43,15.14,603.95116
GJ 179,GJ 179 b,2009,260.61,13.9,0.36,0.38,12.36,2288
GJ 180,GJ 180 b,2014,8.3,2.81,0.43,0.42,11.94,17.38
GJ 180,GJ 180 c,2014,6.4,2.41,0.43,0.42,11.94,24.329
GJ 229,GJ 229 b,2014,32,6.22,0.58,0.46,5.76,471
GJ 27.1,GJ 27.1 b,2014,13,3.66,0.53,0.54,23.62,15.819
GJ 273,GJ 273 b,2017,2.89,1.51,0.29,0.29,3.8,18.6498
GJ 273,GJ 273 c,2017,1.18,1.06,0.29,0.29,3.8,4.7234
GJ 3021,GJ 3021 b,2000,1071.04,13.1,0.9,0.9,17.56,133.71
GJ 3138,GJ 3138 b,2017,1.78,1.18,0.68,0.5,28.49,1.22003
GJ 3138,GJ 3138 c,2017,4.18,1.88,0.68,0.5,28.49,5.974
