host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
11 Com,11 Com b,2007,326.03,6165.6,12.1,19.1,93.37,2.7,19
11 UMi,11 UMi b,2009,516.21997,4684.8142,12.3,13.8,125.72,2.78,29.79
14 And,14 And b,2008,185.84,1525.5,12.9,3.9,75.59,2.2,11
14 Her,14 Her b,2002,1773.40002,1481.0878,12.9,3.79,17.94,0.9,0.93
16 Cyg B,16 Cyg B b,1996,798.5,565.7374,13.5,1.26,21.15,1.08,1.13
18 Del,18 Del b,2008,993.3,3273.5,12.5,9.21,76.38,2.3,8.5
1RXS J160929.1-210524,1RXS J160929.1-210524 b,2008,,3000,18.647,2.54,145,0.85,1.18
24 Boo,24 Boo b,2018,30.3506,289.2253,13.9,0.592,96.25,0.99,10.64
24 Sex,24 Sex b,2010,452.8,632.46,13.4,1.44,72.21,1.54,4.9
24 Sex,24 Sex c,2010,883,273.32,13.9,0.559,72.21,1.54,4.9
2MASS J01225093-2439505,2MASS J01225093-2439505 b,2013,,7786.5,11.209,30.4,36,0.4,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,2015,,4417.837,16.141,5.77,39.4,0.11,0.28
2MASS J04414489+2301513,2MASS J04414489+2301513 b,2010,,2383.6,12.6,6.55,140,0.02,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,2004,,1271,13,3.18,64.42,0.02,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,2015,416,603.877,13.4,1.38,400.77,0.48,0.34
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,2009,7336.5,6657.48,10.31,33.4,25,0.08,0.12
2MASS J22362452+4751425,2MASS J22362452+4751425 b,2016,,3972.875,12.3,11.7,74,0.6,0.62
30 Ari B,30 Ari B b,2009,335.10001,4392.4106,12.3,13,44.71,1.93,1.41
4 UMa,4 UMa b,2006,269.3,2256.5,12.7,6.05,73.58,1.23,18.11
42 Dra,42 Dra b,2008,479.1,1233.13,13,3.08,90.86,0.98,22.03
47 UMa,47 UMa b,1996,1078,804.08,13.2,1.92,13.8,1.03,1.23
47 UMa,47 UMa c,2001,2391,171.621,14.2,0.329,13.8,1.03,1.23
47 UMa,47 UMa d,2009,14002,521.22,13.5,1.16,13.8,1.03,1.23
51 Eri,51 Eri b,2015,11688,635.66,13.4,1.45,29.4,1.75,1.56
51 Peg,51 Peg b,1995,4.230785,146.2018,14.3,0.275,15.47,1.12,1.2
55 Cnc,55 Cnc b,1996,14.65152,263.9785,13.9,0.54,12.59,0.91,0.94
55 Cnc,55 Cnc c,2004,44.4175,54.4738,8.51,0.486,12.59,0.91,0.94
55 Cnc,55 Cnc d,2002,4825,1232.493,13,3.08,12.59,0.91,0.94
55 Cnc,55 Cnc e,2004,0.736539,8.08,1.91,6.4,12.59,0.91,0.94
55 Cnc,55 Cnc f,2007,262,44.812,7.59,0.563,12.59,0.91,0.94
6 Lyn,6 Lyn b,2008,934.3,638.8383,13.4,1.46,54.74,1.44,5.2
61 Vir,61 Vir b,2009,4.215,5.1,2.11,2.98,8.51,0.94,0.96
61 Vir,61 Vir c,2009,38.021,18.2,4.46,1.13,8.51,0.94,0.96
61 Vir,61 Vir d,2009,123.01,22.9,5.11,0.943,8.51,0.94,0.96
7 CMa,7 CMa b,2011,735.1,587.9855,13.4,1.34,19.82,1.34,4.87
7 CMa,7 CMa c,2019,996,276.5121,13.9,0.566,19.82,1.34,4.87
70 Vir,70 Vir b,1996,116.688,2380.45,12.6,6.54,17.91,1.09,1.89
75 Cet,75 Cet b,2012,691.9,953.49,13.1,2.33,83.15,2.49,10.5
8 UMi,8 UMi b,2015,93.4,416.3573,13.6,0.91,163.32,1.44,10.3
81 Cet,81 Cet b,2008,952.7,1684.4,12.8,4.41,101.53,2.4,11
91 Aqr,91 Aqr b,2013,181.4,1017,13.1,2.49,44.08,1.4,11
AB Pic,AB Pic b,2005,,4290.5,12.3,12.7,50.12,0.9,1
BD+03 2562,BD+03 2562 b,2017,481.9,2034.112,12.7,5.46,2618,1.14,32.35
