puzzleid,functions,function_lengths,paint
12796,4,"['-sublen5', '-sublen10', '-sublen5', '-sublen5']",[0]
12795,5,"['-sublen10', '-sublen5', '-sublen10', '-sublen10', '-sublen5']",[0]
12794,4,"['-sublen10', '-sublen3', '-sublen3', '-sublen2']",[1]
12793,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
12792,2,"['-sublen7', '-sublen9']",[1]
12789,4,"['-sublen10', '-sublen5', '-sublen5', '-sublen2']",[1]
12788,5,"['-sublen5', '-sublen8', '-sublen6', '-sublen5', '-sublen2']",[1]
12787,3,"['-sublen6', '-sublen6', '-sublen6']",[1]
12786,2,"['-sublen10', '-sublen10']",[0]
12785,3,"['-sublen2', '-sublen9', '-sublen2']",[0]
12784,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
12783,2,"['-sublen3', '-sublen6']",[0]
12782,3,"['-sublen10', '-sublen10', '-sublen5']",[1]
12781,4,"['-sublen10', '-sublen5', '-sublen5', '-sublen5']",[1]
12780,2,"['-sublen10', '-sublen5']",[1]
12779,3,"['-sublen10', '-sublen10', '-sublen5']",[0]
12778,4,"['-sublen5', '-sublen6', '-sublen6', '-sublen4']",[0]
12777,3,"['-sublen5', '-sublen5', '-sublen4']",[0]
12776,5,"['-sublen9', '-sublen5', '-sublen8', '-sublen7', '-sublen3']",[0]
12775,3,"['-sublen3', '-sublen6', '-sublen3']",[0]
12774,3,"['-sublen5', '-sublen6', '-sublen6']",[0]
12773,2,"['-sublen3', '-sublen3']",[0]
12772,1,['-sublen5'],[0]
12771,3,"['-sublen10', '-sublen10', '-sublen5']",[1]
12770,5,"['-sublen2', '-sublen7', '-sublen5', '-sublen4', '-sublen3']",[0]
12769,3,"['-sublen10', '-sublen10', '-sublen5']",[1]
12768,2,"['-sublen7', '-sublen6']",[0]
12767,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
12766,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
12765,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[1]
12764,5,"['-sublen2', '-sublen5', '-sublen4', '-sublen3', '-sublen2']",[0]
12763,1,['-sublen8'],[0]
12762,1,['-sublen10'],[0]
12761,2,"['-sublen2', '-sublen6']",[0]
12760,1,['-sublen10'],[0]
12759,5,"['-sublen6', '-sublen5', '-sublen8', '-sublen3', '-sublen3']",[0]
12758,5,"['-sublen3', '-sublen6', '-sublen3', '-sublen2', '-sublen2']",[0]
12756,2,"['-sublen7', '-sublen7']",[0]
12755,2,"['-sublen10', '-sublen5']",[0]
12754,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
12753,3,"['-sublen9', '-sublen8', '-sublen8']",[0]
12752,5,"['-sublen4', '-sublen7', '-sublen2', '-sublen2', '-sublen2']",[0]
12751,4,"['-sublen5', '-sublen7', '-sublen7', '-sublen2']",[0]
12750,4,"['-sublen4', '-sublen4', '-sublen3', '-sublen2']",[0]
12749,2,"['-sublen3', '-sublen6']",[0]
12748,2,"['-sublen3', '-sublen7']",[0]
12747,3,"['-sublen3', '-sublen3', '-sublen3']",[0]
12746,4,"['-sublen4', '-sublen6', '-sublen4', '-sublen3']",[1]
12745,2,"['-sublen8', '-sublen3']",[0]
12744,4,"['-sublen8', '-sublen4', '-sublen3', '-sublen6']",[1]
12743,2,"['-sublen10', '-sublen5']",[0]
12742,4,"['-sublen3', '-sublen3', '-sublen3', '-sublen3']",[0]
12741,5,"['-sublen5', '-sublen5', '-sublen5', '-sublen5', '-sublen5']",[0]
12740,4,"['-sublen5', '-sublen10', '-sublen5', '-sublen5']",[1]
12739,4,"['-sublen10', '-sublen5', '-sublen5', '-sublen5']",[0]
12738,3,"['-sublen7', '-sublen3', '-sublen3']",[1]
12737,3,"['-sublen6', '-sublen8', '-sublen4']",[1]
12736,2,"['-sublen10', '-sublen10']",[0]
12735,4,"['-sublen5', '-sublen5', '-sublen5', '-sublen5']",[1]
12734,5,"['-sublen8', '-sublen4', '-sublen3', '-sublen3', '-sublen2']",[0]
12733,5,"['-sublen10', '-sublen3', '-sublen7', '-sublen5', '-sublen5']",[1]
12732,4,"['-sublen6', '-sublen4', '-sublen3', '-sublen2']",[0]
12731,3,"['-sublen7', '-sublen6', '-sublen2']",[0]
12730,3,"['-sublen6', '-sublen6', '-sublen6']",[1]
12728,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
12727,1,['-sublen10'],[0]
12726,3,"['-sublen10', '-sublen4', '-sublen3']",[1]
12725,3,"['-sublen4', '-sublen2', '-sublen2']",[0]
12724,2,"['-sublen3', '-sublen4']",[0]
12723,4,"['-sublen10', '-sublen8', '-sublen10', '-sublen5']",[0]
12722,1,['-sublen6'],[0]
12721,2,"['-sublen5', '-sublen10']",[0]
12720,1,['-sublen5'],[1]
12717,4,"['-sublen6', '-sublen8', '-sublen4', '-sublen2']",[1]
12715,3,"['-sublen3', '-sublen9', '-sublen4']",[1]
12714,1,['-sublen8'],[0]
12713,5,"['-sublen5', '-sublen4', '-sublen7', '-sublen4', '-sublen2']",[0]
12712,1,['-sublen4'],[0]
12711,2,"['-sublen3', '-sublen4']",[1]
12710,1,['-sublen6'],[1]
12709,1,['-sublen5'],[0]
12708,1,['-sublen5'],[0]
12707,2,"['-sublen4', '-sublen4']",[0]
12706,2,"['-sublen4', '-sublen4']",[0]
12705,1,['-sublen4'],[0]
12704,3,"['-sublen5', '-sublen5', '-sublen8']",[0]
12703,4,"['-sublen7', '-sublen7', '-sublen5', '-sublen6']",[0]
12702,3,"['-sublen8', '-sublen7', '-sublen3']",[0]
12701,2,"['-sublen9', '-sublen3']",[0]
12700,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
12699,2,"['-sublen10', '-sublen10']",[0]
12698,2,"['-sublen7', '-sublen7']",[1]
12697,1,['-sublen4'],[0]
12696,4,"['-sublen2', '-sublen10', '-sublen3', '-sublen4']",[0]
12694,3,"['-sublen4', '-sublen3', '-sublen6']",[0]
12693,5,"['-sublen6', '-sublen7', '-sublen4', '-sublen3', '-sublen2']",[0]
12692,4,"['-sublen7', '-sublen5', '-sublen3', '-sublen2']",[0]
12691,5,"['-sublen8', '-sublen5', '-sublen5', '-sublen4', '-sublen4']",[1]
12690,2,"['-sublen8', '-sublen2']",[0]
12689,2,"['-sublen7', '-sublen9']",[1]
12688,2,"['-sublen4', '-sublen3']",[1]
12687,2,"['-sublen10', '-sublen10']",[0]
12686,2,"['-sublen3', '-sublen4']",[0]
12685,5,"['-sublen4', '-sublen3', '-sublen8', '-sublen4', '-sublen9']",[1]
12684,3,"['-sublen6', '-sublen5', '-sublen3']",[0]
12683,2,"['-sublen10', '-sublen10']",[1]
12682,5,"['-sublen5', '-sublen7', '-sublen3', '-sublen6', '-sublen8']",[0]
12681,3,"['-sublen4', '-sublen4', '-sublen4']",[0]
12680,2,"['-sublen6', '-sublen7']",[1]
12679,2,"['-sublen4', '-sublen4']",[0]
12678,2,"['-sublen7', '-sublen3']",[1]
12677,1,['-sublen7'],[1]
12676,5,"['-sublen5', '-sublen7', '-sublen7', '-sublen6', '-sublen4']",[0]
12675,2,"['-sublen10', '-sublen10']",[0]
12674,4,"['-sublen2', '-sublen5', '-sublen8', '-sublen8']",[0]
12673,4,"['-sublen3', '-sublen4', '-sublen3', '-sublen3']",[0]
12672,3,"['-sublen10', '-sublen9', '-sublen2']",[1]
12671,3,"['-sublen9', '-sublen4', '-sublen4']",[1]
12670,4,"['-sublen8', '-sublen4', '-sublen5', '-sublen2']",[0]
12669,4,"['-sublen4', '-sublen6', '-sublen2', '-sublen7']",[1]
12668,5,"['-sublen5', '-sublen5', '-sublen8', '-sublen2', '-sublen2']",[0]
12667,2,"['-sublen5', '-sublen5']",[1]
12666,2,"['-sublen7', '-sublen4']",[0]
12665,2,"['-sublen2', '-sublen10']",[1]
12664,5,"['-sublen2', '-sublen3', '-sublen2', '-sublen3', '-sublen2']",[0]
12663,3,"['-sublen7', '-sublen4', '-sublen3']",[1]
12662,5,"['-sublen7', '-sublen10', '-sublen4', '-sublen3', '-sublen2']",[0]
12661,5,"['-sublen9', '-sublen10', '-sublen8', '-sublen9', '-sublen2']",[0]
12660,2,"['-sublen5', '-sublen10']",[1]
12659,3,"['-sublen8', '-sublen4', '-sublen2']",[1]
12658,3,"['-sublen7', '-sublen2', '-sublen4']",[0]
12657,4,"['-sublen5', '-sublen6', '-sublen7', '-sublen8']",[0]
12656,3,"['-sublen3', '-sublen8', '-sublen6']",[0]
12655,2,"['-sublen8', '-sublen3']",[0]
12654,1,['-sublen6'],[0]
12653,2,"['-sublen10', '-sublen6']",[0]
12652,1,['-sublen10'],[0]
12651,4,"['-sublen2', '-sublen3', '-sublen3', '-sublen2']",[0]
12650,5,"['-sublen4', '-sublen4', '-sublen4', '-sublen4', '-sublen4']",[1]
12649,4,"['-sublen6', '-sublen9', '-sublen2', '-sublen9']",[1]
12648,3,"['-sublen2', '-sublen3', '-sublen4']",[0]
12647,2,"['-sublen3', '-sublen3']",[0]
12646,4,"['-sublen7', '-sublen5', '-sublen4', '-sublen3']",[1]
12645,5,"['-sublen7', '-sublen4', '-sublen10', '-sublen7', '-sublen5']",[0]
12644,5,"['-sublen8', '-sublen7', '-sublen9', '-sublen8', '-sublen3']",[1]
12643,5,"['-sublen5', '-sublen10', '-sublen9', '-sublen7', '-sublen7']",[1]
12642,1,['-sublen5'],[0]
12641,2,"['-sublen2', '-sublen4']",[0]
12640,5,"['-sublen2', '-sublen3', '-sublen4', '-sublen5', '-sublen4']",[0]
12639,2,"['-sublen3', '-sublen4']",[0]
12638,4,"['-sublen5', '-sublen7', '-sublen2', '-sublen4']",[0]
12637,4,"['-sublen5', '-sublen4', '-sublen3', '-sublen3']",[0]
12636,5,"['-sublen6', '-sublen5', '-sublen3', '-sublen3', '-sublen2']",[0]
12635,5,"['-sublen10', '-sublen10', '-sublen8', '-sublen2', '-sublen2']",[0]
12634,1,['-sublen6'],[1]
12633,2,"['-sublen4', '-sublen4']",[0]
12632,5,"['-sublen7', '-sublen5', '-sublen8', '-sublen5', '-sublen7']",[1]
12631,4,"['-sublen3', '-sublen6', '-sublen4', '-sublen4']",[0]
12630,2,"['-sublen6', '-sublen2']",[1]
12629,2,"['-sublen8', '-sublen3']",[0]
12628,1,['-sublen4'],[1]
12627,2,"['-sublen10', '-sublen3']",[0]
12626,1,['-sublen10'],[0]
12625,5,"['-sublen8', '-sublen5', '-sublen6', '-sublen5', '-sublen6']",[1]
12624,2,"['-sublen4', '-sublen5']",[0]
12623,3,"['-sublen2', '-sublen5', '-sublen3']",[1]
12622,2,"['-sublen10', '-sublen10']",[0]
12621,5,"['-sublen10', '-sublen10', '-sublen10', '-sublen10', '-sublen10']",[0]
12620,3,"['-sublen5', '-sublen5', '-sublen5']",[0]
12619,2,"['-sublen10', '-sublen10']",[1]
12618,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
12617,3,"['-sublen5', '-sublen10', '-sublen5']",[0]
12616,4,"['-sublen10', '-sublen5', '-sublen4', '-sublen5']",[1]
12615,5,"['-sublen10', '-sublen5', '-sublen4', '-sublen3', '-sublen2']",[0]
12614,3,"['-sublen10', '-sublen3', '-sublen3']",[0]
12613,5,"['-sublen5', '-sublen6', '-sublen5', '-sublen3', '-sublen4']",[0]
12612,2,"['-sublen7', '-sublen4']",[1]
12611,3,"['-sublen6', '-sublen5', '-sublen3']",[1]
12610,5,"['-sublen7', '-sublen3', '-sublen2', '-sublen3', '-sublen4']",[0]
12609,3,"['-sublen10', '-sublen3', '-sublen3']",[0]
12608,2,"['-sublen10', '-sublen3']",[0]
12607,3,"['-sublen10', '-sublen5', '-sublen5']",[0]
12606,1,['-sublen6'],[0]
12605,2,"['-sublen6', '-sublen5']",[1]
12604,1,['-sublen7'],[0]
12603,3,"['-sublen3', '-sublen7', '-sublen3']",[1]
12602,3,"['-sublen10', '-sublen3', '-sublen5']",[1]
12601,3,"['-sublen4', '-sublen3', '-sublen2']",[0]
12600,3,"['-sublen4', '-sublen3', '-sublen2']",[0]
12599,3,"['-sublen5', '-sublen2', '-sublen6']",[0]
