movie_id,release_year,cust_id,rating_year,rating_month,rating_day_of_week,rating
8644,2002,861532,2003,6,1,5
16825,1994,1694142,2001,5,2,2
5836,2004,895626,2004,5,1,3
12494,2001,917241,2005,5,6,4
16095,1998,88317,2005,11,2,3
1615,1995,2336298,2004,11,6,3
10872,1990,1451734,2004,12,5,4
6692,1999,1677014,2005,3,3,4
13412,2000,2354541,2005,5,1,5
13255,2005,328930,2005,12,3,4
9628,1983,1236634,2004,12,2,5
16641,2001,626050,2004,9,0,3
483,2001,1817340,2005,9,0,3
15058,1999,1665484,2003,5,1,4
8651,1999,1899721,2002,9,2,2
7430,2001,1008517,2005,5,2,4
12065,1994,2222413,2004,5,3,5
1305,2003,801884,2004,5,0,2
10231,2004,92616,2005,10,6,3
5345,2004,2134972,2005,8,5,1
4931,2004,1757621,2005,10,5,3
6069,1970,1876520,2002,6,5,1
8644,2002,585837,2005,5,0,4
13923,2000,86987,2004,2,4,3
607,1994,149439,2003,8,0,3
1220,2004,356264,2005,11,6,4
6692,1999,718012,2003,8,0,3
3860,2003,1722795,2005,3,0,4
5035,1998,350810,2004,10,2,5
6240,1990,1239654,2005,9,0,5
11426,2001,2330236,2004,12,4,3
14961,2003,955178,2005,7,3,5
7695,1999,1039883,2005,10,2,5
8954,2002,1680684,2002,9,0,4
1324,1994,285173,2004,6,2,5
9254,1985,1741808,2005,2,6,3
17330,2004,1241067,2004,12,1,4
3743,2000,1868586,2004,12,2,3
10604,1988,2213751,2004,5,0,2
11732,2003,106428,2004,4,4,3
6134,2004,2436566,2005,1,1,4
10344,1986,79287,2005,8,6,3
9528,1957,1687095,2005,2,6,4
30,2003,1430841,2005,6,3,5
473,1997,2213291,2004,10,2,5
2893,1927,721590,2004,1,1,4
6656,2004,352620,2004,9,5,3
5903,1991,746375,2004,5,1,5
11064,1994,1107747,2005,1,3,5
4306,1999,1052140,2004,10,0,4
11607,2005,1788023,2005,9,2,4
1370,1976,1788137,2004,10,4,3
4315,2004,2359487,2005,12,4,3
11781,1984,125769,2005,5,5,4
1467,1993,724185,2004,7,4,4
1295,1983,1718159,2004,4,2,3
273,2004,890183,2005,3,0,3
1573,1999,150846,2002,4,5,4
5807,2004,172439,2005,2,4,1
985,1999,1328361,2002,8,6,5
11337,1999,1953788,2005,1,4,5
5401,2004,1741271,2005,10,0,2
17707,2004,1354208,2004,12,4,3
12582,2003,2508553,2005,4,6,5
17622,2001,223043,2003,7,1,4
14667,1989,772387,2005,5,5,5
13412,2000,42104,2004,6,0,4
12870,1993,2515714,2005,10,3,5
17627,2001,2546138,2005,7,3,4
3331,1971,1070554,2004,12,6,5
2452,2001,1811148,2004,8,2,5
5026,2004,424452,2004,12,3,5
2062,1992,2364551,2005,3,3,5
17215,1998,87872,2002,7,5,4
12338,2004,1740284,2005,3,6,4
3624,2003,775265,2004,10,3,5
5317,2000,2609836,2004,3,0,3
12399,1998,1689694,2005,9,5,4
6408,1987,2400180,2005,7,5,4
12145,1981,2571309,2004,9,2,3
10451,1971,1282822,2005,2,1,5
17492,2004,809329,2005,5,3,1
5601,1962,288562,2005,8,1,4
6974,1995,2198123,2002,11,6,3
7767,2000,2395672,2005,3,2,3
9340,2001,1355895,2004,1,1,5
8596,1995,1709089,2005,6,2,3
17411,1953,501511,2004,2,5,3
15107,2001,1169378,2004,3,1,4
15099,2003,2178638,2004,1,2,4
11313,1996,2187092,2004,4,2,1
6760,2002,1027074,2003,12,3,1
13056,1999,2535210,2005,12,3,5
17308,2001,648350,2004,1,3,4
12862,1991,1522555,2005,11,4,3
17355,2004,1548483,2005,8,3,4
607,1994,1365489,2004,3,1,4
11077,2004,217652,2005,5,2,4
2372,2004,941392,2004,12,2,5
5345,2004,565301,2005,5,5,3
433,1993,1432681,2005,3,3,3
15421,1995,2161899,2002,8,4,3
7216,1988,133396,2005,2,3,5
13496,1997,1854658,2005,8,0,5
10363,1998,2503335,2004,6,4,4
6692,1999,472591,2004,9,1,3
295,1995,938266,2005,6,2,5
2209,1981,598699,2004,2,1,4
14313,2000,1210078,2005,6,4,3
15787,2003,1595338,2005,6,1,4
4171,1996,61928,2005,5,0,3
17129,1997,452784,2003,8,0,4
15531,1996,1453671,2005,11,5,3
16139,1991,1823926,2003,12,5,4
13970,2005,873713,2005,10,1,5
5587,1984,1179117,2005,1,0,3
268,1980,2375962,2004,7,0,3
7791,1983,1903148,2005,12,3,3
12913,1988,2329196,2005,2,2,4
12417,2000,170988,2005,10,5,5
5926,1999,587503,2004,12,2,3
14618,1998,2394429,2005,2,6,4
717,2004,32449,2005,11,3,1
3864,2005,2219063,2005,10,2,5
14137,1995,2080585,2000,7,5,3
2782,1995,2549229,2005,6,1,5
8809,2002,1763704,2005,3,3,2
1905,2003,91864,2005,4,0,4
13636,1982,513497,2005,2,0,3
11173,2003,568080,2005,5,1,4
14313,2000,1884965,2003,8,6,4
6859,2003,551388,2004,4,3,5
2172,1991,493903,2005,2,0,5
15628,1976,295135,2004,1,6,4
3046,1990,1271456,2005,4,1,5
2296,2002,358405,2004,5,1,4
8651,1999,899280,2004,10,4,4
5727,1984,445881,2004,9,4,5
14576,2003,2055183,2005,8,3,3
13705,1992,567705,2005,5,0,3
12828,2004,964804,2005,5,0,5
10229,2004,122735,2005,3,1,3
12494,2001,885615,2005,3,2,3
14218,1990,1125519,2004,1,6,3
8644,2002,617031,2005,2,5,3
1659,1993,2077809,2005,10,2,5
1595,1949,1767410,2005,1,3,5
1983,2001,49890,2004,5,1,5
1509,2002,2485091,2002,10,4,4
15807,1944,654689,2005,4,5,5
10123,1996,730751,2004,12,6,1
4736,1981,114802,2003,7,3,3
14311,1986,2597382,2005,10,4,3
16242,1997,2274438,2005,2,1,4
16181,1993,1546326,2005,6,2,4
4472,2003,544417,2005,3,5,4
3962,2003,298090,2005,9,4,5
1571,1982,2322463,2004,3,3,4
13580,1988,1062070,2004,10,4,4
14457,1993,1104512,2005,8,1,5
9939,2005,2206068,2005,9,1,3
6428,1962,1295624,2005,7,3,5
15563,2003,1450009,2004,6,0,2
4339,2000,101722,2005,3,1,3
17622,2001,2439017,2004,4,0,3
473,1997,2472213,2005,1,1,4
1799,1990,443865,2005,5,3,4
5601,1962,1041187,2004,2,1,4
4306,1999,130625,2005,10,1,5
3315,1941,2204970,2005,6,3,5
16139,1991,1117708,2005,1,2,4
14953,1986,2473448,2002,9,6,3
3917,2004,1305823,2005,4,1,4
12102,2001,730007,2003,9,0,4
7786,2003,2054430,2005,4,0,4
6673,2004,381941,2004,8,0,2
13622,1994,2402560,2005,5,4,3
16703,2003,511913,2005,5,0,4
7635,2004,1390692,2005,6,2,1
10906,2004,134700,2005,2,5,4
15511,2002,1226291,2003,1,1,5
4159,2002,847616,2005,11,4,4
7617,1987,1906508,2005,8,0,4
15646,2004,931071,2005,5,3,4
4257,1996,923631,2004,3,3,5
12232,2003,2244827,2004,7,5,3
2360,1952,1984315,2005,6,5,5
7517,1995,1545403,2005,1,2,2
6234,2004,1066824,2005,9,3,5
12305,1995,1106982,2003,2,2,3
2643,2004,349082,2005,12,1,5
15137,1992,1910165,2005,10,1,1
15764,2003,255960,2005,2,6,1
14240,2003,2640498,2005,8,1,5
10820,1985,1130968,2005,10,0,4
1816,2003,423757,2004,8,2,4
6445,1962,2514465,2004,2,2,4
11314,2004,2477534,2005,7,6,3
11400,2002,1867416,2004,8,5,2
15182,2001,1212375,2004,3,6,2
3433,1992,77625,2004,4,3,3
16357,2005,1418865,2005,10,1,3
3350,2000,654451,2004,7,4,3
15956,1991,2093404,2005,2,1,3
4432,2003,1647714,2003,11,2,2
1798,1987,1718063,2005,1,0,4
14829,2004,926906,2005,4,2,3
5651,1992,1346257,2004,5,1,3
11090,1999,490041,2005,12,5,2
11234,1998,296822,2000,3,2,5
3013,1973,509239,2005,7,4,5
6428,1962,1037495,2004,8,3,4
13827,2001,1809981,2005,3,1,4
16564,1992,1475516,2003,9,0,3
2465,1984,211959,2005,6,0,4
16377,1999,1957412,2005,12,3,5
1144,1991,526705,2005,10,2,5
9617,1998,2608913,2005,11,1,2
10275,2004,1099567,2005,4,4,2
10704,1990,1054225,2004,12,0,2
6475,2004,2151340,2005,5,2,3
11198,1999,2067619,2004,1,4,4
2680,2002,1888168,2004,10,2,4
17385,1995,713797,2004,7,2,2
16236,2000,1962909,2003,5,4,3
10230,1997,1596546,2004,12,2,3
516,2001,1684811,2004,2,4,4
7356,1998,779877,2001,6,6,3
13195,1997,2288727,2005,1,2,5
6377,2001,2467814,2005,9,4,3
16325,1968,1551880,2005,9,2,4
12355,2001,1586613,2004,2,5,2
16068,1989,2617437,2004,4,4,3
6287,1990,1259229,2003,8,3,3
15436,1998,2329249,2005,8,2,4
5085,2003,1169685,2004,7,1,4
191,2003,172069,2004,3,6,4
2699,2003,230112,2004,6,1,1
8079,1994,480316,2005,1,6,3
8584,2003,2108921,2004,6,2,3
10421,2003,799826,2005,10,1,2
15532,1999,2415929,2005,3,1,3
14960,1986,1775114,2005,8,1,3
5788,1996,810447,2001,5,3,5
3730,1998,467596,2004,11,4,4
5522,2004,370864,2005,7,4,3
14410,2002,858942,2005,9,3,5
6497,2002,2104957,2005,3,3,4
11089,2001,794563,2005,11,2,5
3433,1992,1420709,2004,4,1,5
1435,2001,434304,2005,12,3,5
1305,2003,112208,2005,2,0,5
10583,2003,2534508,2005,9,1,3
1682,1997,2527322,2003,6,2,4
12843,1986,1221111,2004,9,0,4
6609,2001,1160600,2004,1,6,3
7635,2004,302200,2005,1,5,3
13644,2000,1611752,2005,12,4,2
8333,2004,731039,2005,2,1,2
11837,1987,2277016,2004,5,2,5
14055,1983,1181649,2004,1,4,1
7475,1988,1570329,2005,2,4,3
7494,1997,1741303,2005,8,0,4
5069,1991,2173191,2005,6,1,4
10158,1995,2491738,2003,10,3,4
10961,1986,1409463,2005,2,4,4
13402,2002,2301040,2004,8,0,4
9229,1988,2161052,2005,10,5,2
5255,1994,2075551,2004,11,1,4
10359,1999,1855889,2005,8,4,3
5353,1970,1415546,2005,6,0,5
11696,1999,150344,2002,6,0,4
17482,1995,2582384,2000,3,1,4
12034,1980,1474415,2005,6,0,2
3394,1989,908401,2005,8,6,3
5511,1975,1714584,2004,7,1,5
6692,1999,820416,2004,12,0,3
5959,2003,858113,2005,12,3,3
10168,2003,1026926,2005,6,4,5
6971,1986,1029015,2004,9,0,4
9442,2004,2079297,2005,3,5,4
16146,2003,963962,2004,6,5,1
9875,2000,2593617,2004,8,5,4
4216,2001,222960,2003,1,2,3
14842,2004,109207,2005,11,2,2
