puzzleid,difficulty,players_solved,min_sol_len,likes,dislikes
12796,3,3,17,2,0
12795,3.8,6,25,5,0
12794,1.75,12,6,4,1
12793,1.86,12,14,4,1
12792,3.2,7,15,5,0
12789,4,3,16,2,0
12788,3,3,19,1,0
12787,3,2,17,1,0
12786,1.11,17,13,2,1
12785,3.5,5,12,2,0
12784,2,7,14,2,0
12783,2.75,8,9,2,0
12782,2.5,3,21,1,0
12781,3.67,5,16,3,0
12780,2.75,7,11,4,0
12779,3.67,6,16,3,0
12778,2.5,5,13,3,0
12777,3.5,3,14,1,0
12776,3,3,27,1,0
12775,3.33,6,11,3,0
12774,2.6,10,10,5,0
12773,2,13,6,2,0
12772,1,45,5,12,1
12771,3.5,3,16,2,0
12770,2.4,8,15,3,0
12769,5,2,18,1,0
12768,3,3,12,2,0
12767,2,10,14,3,2
12766,1.83,11,14,3,2
12765,1.57,12,13,3,1
12764,3,5,16,1,0
12763,3,8,8,3,0
12762,3,5,10,2,0
12761,2.67,8,8,5,0
12760,3.33,5,10,3,0
12759,2.33,6,24,1,0
12758,3,3,16,0,0
12756,3,9,13,2,0
12755,3.33,5,10,2,0
12754,3,3,29,2,0
12753,3,6,24,2,0
12752,3,3,15,1,0
12751,2.75,7,19,2,0
12750,2.25,10,13,3,0
12749,2.17,12,7,3,1
12748,2.4,9,10,2,0
12747,2.83,10,9,4,0
12746,3,7,16,3,0
12745,2,17,11,8,0
12744,3,6,14,1,0
12743,3,5,14,4,0
12742,3,4,9,1,0
12741,3,4,22,1,0
12740,3,2,16,1,0
12739,2.33,4,17,1,0
12738,2,4,13,1,0
12737,2,2,18,0,0
12736,2.25,14,13,6,1
12735,3.33,5,15,3,0
12734,3.5,5,17,3,0
12733,4,2,30,0,0
12732,3,4,15,2,0
12731,3,2,14,0,0
12730,1.57,22,7,5,0
12728,3,7,11,3,0
12727,1.88,23,5,8,0
12726,1.33,25,6,5,0
12725,1.33,24,6,4,1
12724,1.7,16,7,5,1
12723,1.57,17,13,2,0
12722,1.88,13,4,4,1
12721,4,3,11,2,0
12720,1.8,11,5,3,0
12717,3.5,6,18,3,0
12715,3,4,12,0,0
12714,2,5,8,0,0
12713,2.83,10,21,4,0
12712,1.31,31,4,7,2
12711,1.67,22,7,5,1
12710,1.67,20,6,4,0
12709,1.56,25,5,6,0
12708,1.14,49,5,8,1
12707,1.67,21,8,4,0
12706,2,16,6,5,0
12705,1.33,29,4,4,1
12704,3,4,18,0,0
12703,3,2,23,0,0
12702,3,5,18,2,0
12701,3,3,11,1,0
12700,2.5,6,11,1,0
12699,3,3,15,2,0
12698,2.25,7,14,3,0
12697,1.25,33,4,6,1
12696,3,3,14,2,0
12694,3.25,7,13,4,0
12693,3,4,17,2,0
12692,3,3,15,1,0
12691,3,2,23,1,0
12690,2.5,3,9,1,0
12689,2.67,4,14,2,0
12688,1.29,24,6,4,1
12687,1.43,21,7,4,2
12686,3.13,11,7,5,1
12685,3,4,22,1,0
12684,2.86,8,14,6,0
12683,4,8,13,4,0
12682,3,2,25,0,0
12681,1.5,19,8,4,1
12680,3.13,11,12,7,0
12679,1.86,15,8,3,0
12678,2.29,14,9,4,0
12677,2.6,6,7,4,0
12676,3.33,4,22,2,0
12675,3.67,4,17,3,0
12674,2.75,5,23,4,0
12673,2.57,11,13,5,0
12672,3,5,14,3,0
12671,3.33,6,16,5,0
12670,3.17,9,19,5,0
12669,2,4,19,2,0
12668,4,5,21,3,0
12667,3,4,7,2,0
12666,2.6,6,11,4,0
12665,3,9,11,4,0
12664,1.83,11,8,3,1
12663,3,7,13,4,0
12662,2.5,5,21,3,0
12661,4,2,32,0,0
12660,3.67,4,13,2,0
12659,3.33,3,14,2,0
12658,3,4,13,1,0
12657,3,4,24,0,0
12656,2.5,7,16,5,0
12655,2.5,9,10,3,0
12654,2.2,7,6,3,0
12653,3,6,13,3,0
12652,2.29,22,8,8,0
12651,4,3,9,1,0
12650,3,5,19,1,0
12649,3,6,19,3,0
12648,2.5,6,9,3,0
12647,2.25,14,6,5,0
12646,3,5,17,1,0
12645,3.25,5,25,2,0
12644,3,4,27,2,0
12643,4,4,31,2,0
12642,1.86,15,5,3,1
12641,1.3,32,5,6,1
12640,1.4,29,5,5,1
12639,2,16,6,3,1
12638,3.33,5,17,3,0
12637,3.67,6,15,2,0
12636,3.5,2,19,1,0
12635,3.5,4,28,1,0
12634,2.57,11,6,4,0
12633,1.6,32,8,8,0
12632,3.75,7,29,3,0
12631,4,4,16,2,0
12630,2.83,10,8,5,0
12629,2.29,15,10,8,0
12628,1.36,35,4,7,3
12627,2.57,10,13,5,0
12626,1.23,46,5,9,3
12625,3.6,6,30,3,0
12624,3.4,8,9,4,0
12623,3,4,9,2,0
12622,1.31,51,4,10,3
12621,1.33,54,5,10,3
12620,2.5,10,12,5,0
12619,1.25,77,4,17,2
12618,2.5,7,15,4,0
12617,4,5,17,1,0
12616,3,4,20,2,0
12615,3,2,22,0,0
12614,4,6,14,4,0
12613,3.67,4,19,2,0
12612,2,4,7,1,1
12611,2.75,7,12,4,0
12610,1.73,24,7,8,2
12609,4,3,16,1,0
12608,3.4,6,12,4,0
12607,4,4,16,3,0
12606,3,7,6,3,0
12605,3.25,5,8,2,0
12604,2.83,11,7,3,0
12603,2.75,7,13,3,0
12602,2,14,8,4,1
12601,2.43,12,9,4,0
12600,2,13,7,6,0
12599,3,8,11,3,0
12598,3,6,15,3,0
12597,4,4,21,2,0
12596,2.75,6,21,2,0
12595,2.6,9,14,5,0
12594,1.54,31,8,8,2
12593,3.67,4,13,2,0
12592,3,3,14,1,0
12591,3.33,5,8,2,0
12590,3,2,14,0,0
12589,3,2,9,0,0
12588,4.5,3,10,1,0
12587,3,5,23,2,0
12586,3,3,12,2,0
12585,2.5,10,9,5,0
12584,1.25,81,7,13,3
12583,1.25,116,7,17,3
12582,1.23,50,5,8,2
12581,1.25,45,6,7,1
12580,2.63,12,15,5,0
12579,2.33,10,9,2,0
12578,2.33,10,9,3,0
12577,3,6,7,2,0
12576,2.4,8,10,4,0
12575,4,3,7,0,0
12574,3,16,11,11,0
12573,1.26,86,5,23,2
12572,1.24,135,4,28,3
12571,1.3,140,4,22,5
12570,1.17,77,4,17,4
12569,3,2,17,0,0
12568,4,2,25,1,0
12567,1.31,38,4,9,1
12566,3.2,13,10,9,0
12565,2.22,19,8,6,0
12564,1.5,29,8,5,1
12563,1.78,24,6,3,1
12562,2.3,18,7,8,0
12561,1.5,29,6,5,1
12560,1.42,32,8,6,1
12559,1.31,38,7,10,2
12558,3.5,4,18,3,0
12557,2.25,8,6,3,0
12556,2,11,5,4,1
12555,2.5,3,12,1,0
12554,3.5,6,14,3,0
12553,3,7,20,3,0
12552,2.5,3,14,2,0
12551,1.58,27,10,8,1
12550,3,3,21,0,0
12549,2.25,7,9,3,0
12548,2.4,8,10,4,0
12547,2.33,8,6,2,2
12546,2,10,6,2,1
12545,3,2,17,0,0
12544,3,3,15,1,0
12543,4,2,20,1,0
12542,2,19,7,5,1
12541,1.64,21,12,5,1
12540,2.17,9,12,4,1
12539,1.9,22,7,7,0
12538,2,4,10,1,1
12537,2,4,10,0,0
12536,3.25,7,8,4,0
12535,3.43,9,19,7,0
12534,2.57,10,15,6,1
12532,3,6,12,4,0
12531,5,2,13,1,0
12530,2.8,17,15,12,0
12529,2.4,17,6,8,1
12528,1.7,25,4,7,2
12527,2,18,5,5,2
12526,1.8,19,9,7,1
12525,3,8,23,3,0
12524,4,5,8,2,0
12523,3,5,21,3,0
12522,5,2,19,1,0
12521,3,2,27,1,0
12520,2.6,10,15,4,0
12519,3,2,13,0,0
12518,2.2,8,16,4,0
12516,3,5,9,2,0
12515,1.42,41,5,10,4
12514,1.31,50,7,12,2
12513,1.23,119,6,23,3
12512,1.27,45,5,9,1
12511,1.14,170,5,27,6
12510,3,7,19,2,0
12509,2.2,10,10,4,0
12508,2,8,10,3,0
12507,2.33,8,12,3,0
12506,2.5,11,15,4,0
12505,1.8,8,13,0,3
12504,4,2,17,1,0
12503,2.33,6,20,1,0
12502,2.57,9,8,5,0
12501,3,3,26,1,0
12500,3,4,18,2,0
12499,2.29,15,5,4,1
12498,1.45,35,5,6,2
12497,3,3,19,2,0
12496,3,5,13,2,0
12495,1.89,23,5,5,1
12494,2.75,8,8,5,0
12493,2.5,18,13,7,0
12491,1.75,27,6,6,1
12490,3,4,26,1,0
12489,1.88,18,10,6,1
12488,2.5,6,8,3,0
12487,4,2,22,1,0
12486,2,17,7,8,1
12485,3,4,15,2,1
12484,4,4,27,2,0
12483,3,7,13,3,0
12482,3,3,13,1,0
12481,3,2,13,0,0
12480,1.8,22,7,5,2
12479,2.67,6,13,1,0
12477,3,4,13,3,0
12476,3,2,20,1,0
12475,3,7,12,3,0
12474,3,3,23,1,0
12473,3.5,5,19,3,0
12472,3.6,5,20,4,0
12471,3.75,5,19,3,0
12470,3,3,13,1,0
12469,1.88,20,13,6,0
12467,3,5,27,2,0
12466,2.4,8,10,3,0
12465,2.33,5,17,1,0
12464,1.69,23,14,6,3
12463,1.17,80,6,18,7
12462,1.31,57,6,8,8
12461,1.58,29,6,5,2
12460,3,2,18,1,0
12459,3.5,2,22,1,0
12457,2.33,11,14,3,0
12455,3.5,2,13,1,0
12454,3.5,2,9,0,1
12453,2,6,11,2,0
12452,3,2,24,0,0
12451,4,2,18,1,0
12450,3.5,3,14,1,0
12449,3.5,3,7,1,0
12448,3,3,11,2,0
12447,3.67,4,7,2,0
12446,3,2,18,0,0
12445,3,3,9,0,0
12444,3.25,7,19,2,0
12443,3,3,27,1,0
12442,3,2,15,1,0
12441,3.33,3,15,1,0
12440,3,6,20,2,0
12439,3,3,22,2,0
12438,3,2,18,1,0
12437,2.33,5,13,2,0
12436,2.71,12,7,3,1
12435,3,5,25,3,0
12434,2.5,7,5,3,0
12433,4,2,9,0,0
12432,3,5,21,4,0
12431,3,3,8,1,0
12430,3,2,9,0,0
12429,4,2,26,1,0
12428,4,2,19,1,0
12427,2.5,4,9,0,0
12425,3,2,8,0,0
12424,4,2,13,0,0
12423,1.44,55,4,12,7
12422,3,3,22,2,0
12421,3,6,17,3,0
12420,3,6,11,3,0
12419,1.12,331,4,54,12
12418,3.33,4,17,2,0
12417,2.2,9,23,2,0
12416,4.5,2,26,1,0
12414,1.44,52,7,9,2
12413,4,3,8,0,0
12412,4,2,13,1,0
12411,3,3,8,0,1
12410,2.75,6,13,2,0
12409,2.29,13,15,5,0
12408,2.5,6,10,2,0
12406,2.67,6,13,2,0
12405,3.75,5,21,2,0
12404,3.5,4,13,2,0
12403,5,3,14,2,0
12402,3,3,21,2,0
12401,2.8,7,14,4,0
12400,1.46,31,5,3,4
12399,3.5,3,16,1,0
12398,4,3,19,2,0
12397,1.18,266,4,42,21
12396,1.29,44,5,8,5
12395,1.17,96,6,16,8
12394,2,20,4,4,2
12393,1.19,91,4,19,4
12392,3,2,17,1,0
12391,3,2,16,0,0
12390,1.47,40,4,8,3
12389,1.33,76,4,19,7
12388,1.44,34,4,6,5
12387,3,4,18,2,0
12386,3,4,21,2,0
12385,1.64,24,6,3,3
12384,2.63,13,11,9,0
12383,3,2,17,1,0
12382,3,3,18,1,0
12381,2,3,11,0,0
12380,2,2,21,1,0
12379,2.6,8,11,5,0
12378,2.5,8,11,3,0
12377,2.75,7,12,4,0
12376,3,3,13,1,0
12375,3.33,5,13,3,0
12374,2.4,7,22,3,0
12373,2.2,8,12,3,0
12372,2,4,14,1,0
12371,3,2,18,1,0
12370,3,2,17,1,0
12369,4,2,9,1,0
12368,2.36,17,12,10,0
12367,2,7,12,2,0
12366,3,2,15,1,0
12365,4,2,25,1,0
12364,2,16,14,3,2
12363,3,3,13,2,0
12362,4,4,17,2,0
12361,4,2,27,1,0
12360,3,2,9,1,0
12359,4,4,30,2,0
12358,4,3,14,2,0
12357,3.25,5,14,3,0
12356,3.5,5,20,4,0
12355,3,5,13,3,0
12354,4,3,14,2,0
12353,2.33,7,17,5,0
12352,2.25,10,10,4,0
12351,2.5,6,15,3,0
12350,3,2,18,1,0
12349,3.75,5,17,3,0
12348,2.11,13,11,5,1
12347,3.25,5,20,4,0
12346,2.8,8,11,3,0
12345,2,8,6,2,0
12344,3,5,13,3,0
12343,4,2,19,0,0
12342,3,6,21,3,0
12341,2.8,7,9,4,0
12340,3,6,12,3,0
12339,3,4,23,2,0
12338,3,2,21,1,0
12337,3,2,12,1,0
11335,3.5,4,9,3,0
11334,3,2,11,0,0
11333,3,2,22,1,0
11332,4,2,29,1,0
11331,2.25,6,12,3,0
11330,2,5,10,1,0
11329,4,2,24,0,0
11328,4,2,10,1,0
11327,4,2,13,1,0
11326,3,2,18,1,0
11325,3,3,17,1,0
11323,1.29,56,5,11,4
11322,4,2,25,0,0
11320,1.29,57,4,8,5
11319,3.6,5,14,4,0
11318,3,5,15,1,0
11317,3,7,14,2,0
11316,2.75,7,6,3,0
11315,4,5,8,1,0
11314,3.5,2,25,2,0
11313,4.33,5,9,3,0
11312,3,9,10,5,0
11311,1.53,46,5,8,3
11310,1.35,53,10,7,4
11309,2.67,5,19,1,0
11308,2,3,7,0,0
11307,2.4,7,15,4,0
11306,2.8,8,17,4,0
11305,3.75,5,15,4,0
11304,2.57,11,17,4,0
11303,4,5,16,4,0
11302,2.5,3,28,1,0
11301,3,6,23,2,0
11300,3.5,3,21,2,0
11299,4,9,7,4,0
11298,3,8,16,3,0
11297,3.25,7,19,4,0
11296,4,3,21,2,0
11295,3.38,13,7,8,0
11294,3,3,21,2,0
11293,4,2,27,1,0
11292,3.6,8,14,3,0
11291,3.5,3,19,2,0
11290,4,2,25,0,0
11289,1.38,53,6,6,3
11288,1.92,25,9,7,1
11287,1.29,48,7,5,3
11286,3,11,10,5,0
11285,3,9,15,3,0
11284,2.13,13,10,5,0
11283,2.46,22,10,11,0
11282,4,4,12,3,0
11281,3,7,17,3,0
11280,2.33,10,13,4,0
11279,4,2,8,0,0
11278,3,8,17,5,0
11277,3,5,9,3,0
11276,3,9,12,4,0
11275,2.8,9,15,3,0
11274,2.2,10,14,1,0
11273,1.42,51,7,7,1
11272,1.8,32,6,6,0
11271,1.75,75,8,19,0
11270,2.56,19,9,10,0
11269,1.67,28,9,5,1
11268,1.38,52,5,6,4
11267,2.75,6,10,1,0
11266,3.08,21,10,13,0
11265,3,4,15,3,0
11264,3,8,21,4,0
11263,3.2,9,11,5,0
11262,1.62,35,12,6,1
11261,2.14,44,6,14,0
11260,1.44,51,7,7,2
11259,1.37,93,6,10,1
11258,1.53,48,5,7,2
11257,1.62,42,5,8,1
11256,2.33,8,11,4,1
11255,2.75,6,29,3,0
11254,3,5,23,3,0
11253,4,2,15,1,0
11252,3.5,8,25,4,0
11251,2.33,7,12,2,0
11250,2.69,24,7,14,0
11249,3,6,15,1,0
11248,2.5,9,16,3,0
11247,2.47,28,9,13,0
11246,3.33,5,22,3,0
11245,3.67,4,12,2,0
11244,3.71,11,7,6,0
11243,4,5,8,3,0
11242,3.5,3,19,1,0
11241,3.2,6,16,4,0
11240,4,4,8,2,0
11239,3.25,5,18,3,0
11238,3,2,15,0,0
11236,3.67,5,15,2,0
11234,4.33,5,10,3,0
11233,3,7,14,5,0
11232,3.5,4,12,3,0
11231,3,2,24,0,0
11230,2.6,8,13,1,0
11229,2.14,14,8,6,1
11228,4,7,8,1,0
11227,2,8,8,0,2
11226,1.92,26,13,4,2
11225,2.75,5,17,3,0
11224,4,5,13,3,0
11223,2.13,15,8,7,1
11222,4,3,18,2,0
11221,2.5,7,14,3,1
11220,4,2,11,1,0
11219,2.5,9,8,5,0
11218,3,7,13,5,0
11217,3,3,8,1,0
11216,2.13,13,7,4,1
11215,3,2,20,1,0
11214,4,6,29,2,0
11213,3.67,3,32,1,0
11212,3.5,3,24,1,0
11210,3,4,7,2,0
11209,3,3,12,1,0
11208,2.5,5,16,4,0
11207,1,9,8,0,5
11206,1.14,16,11,1,6
11205,1,10,6,0,5
11204,1,10,6,0,5
11203,1,16,6,1,6
11201,2.86,11,9,5,0
11200,2.83,6,10,4,0
11199,2.25,6,17,2,0
11198,3,2,11,0,0
11197,3,5,8,1,0
11196,3.5,5,18,2,0
11195,2.67,21,12,9,0
11194,3,3,19,1,0
11193,2.12,32,9,7,1
11192,1.46,41,8,8,3
11191,4,2,9,1,1
11184,2.6,7,7,2,1
11183,3,6,21,2,0
11182,4,2,25,1,0
11181,2.08,24,5,7,1
11180,3,3,16,1,0
11179,3,6,13,4,0
11178,2,6,8,3,1
11177,3.36,16,10,11,0
11176,3,6,13,3,0
11175,2.5,12,10,6,1
11174,1.75,29,5,8,1
11173,2.67,4,12,2,0
11172,3,2,10,0,0
11171,2.22,13,6,5,1
11170,1.67,28,14,6,1
11169,3.4,6,21,5,0
11168,5,3,33,2,0
11167,4,4,26,3,0
11166,3.33,4,24,2,0
11165,1.67,45,9,8,1
11164,1.5,53,6,6,5
11163,2.93,26,8,17,0
11162,3.5,6,16,3,0
11161,2.83,10,12,5,0
11160,3.5,3,21,1,0
11159,5,2,22,1,0
11158,4,2,14,1,0
11157,2.33,8,15,5,0
11156,1.64,33,8,7,3
11155,1.73,52,7,8,2
11154,4,2,21,0,0
11153,4,4,9,3,1
11152,3.5,3,26,1,0
11151,4,1,13,1,0
11150,4,1,15,1,0
11149,4,2,27,0,0
11148,1.62,33,10,7,3
11146,1.9,21,10,8,2
11145,4,1,14,1,0
11144,2.2,21,12,8,0
11143,2,20,16,6,1
11142,3,2,28,1,0
11141,4.5,3,9,2,0
11140,3,7,9,3,0
11139,3.75,6,14,4,0
11138,3,4,17,1,0
11136,4,2,32,1,0
11133,3,5,27,2,0
11132,1.36,49,6,8,4
11131,3.33,3,11,2,0
11130,1.38,40,4,5,3
11129,1.21,127,5,27,11
11128,3,5,25,1,0
11127,1.5,37,5,6,3
11126,2.09,20,8,5,0
11125,2.4,7,8,3,1
11124,1.29,75,4,10,6
11123,1.62,56,7,3,5
11122,1.36,41,15,5,3
11121,1.29,57,5,7,4
11120,1.73,27,6,5,3
11119,1.5,37,5,5,3
11118,1.42,42,5,5,5
11117,1.27,63,5,9,5
11116,1.09,367,4,76,24
11115,1.6,26,15,3,3
11114,1.5,36,8,5,3
11113,1.64,32,6,3,5
11111,3.75,9,16,3,0
11110,1.36,82,6,14,8
11109,1,13,4,1,6
11108,1.89,21,12,4,3
11107,1.31,92,5,18,5
11106,1.45,39,8,6,2
11105,1.5,43,5,5,6
11104,1.29,63,5,11,5
11103,1.54,34,4,7,4
11102,1.78,21,10,3,1
11101,2.14,15,9,5,1
11100,3.8,7,29,4,0
11099,4,7,23,4,0
11098,2,20,12,6,1
11096,1.36,53,4,4,5
11084,1.19,107,6,17,11
11083,1.69,31,7,4,5
11082,1.5,34,9,5,4
11081,1.58,34,7,8,2
11080,1.8,23,11,5,3
11079,2,18,12,5,2
11078,1.78,23,9,4,3
11077,1.55,36,10,5,4
11076,2.67,11,13,3,1
11075,1.17,108,5,15,7
11074,1.17,88,5,12,10
11073,2.11,16,7,5,1
11072,1.43,41,9,5,4
11071,1.62,33,8,6,3
11070,1,22,6,2,7
11069,2.33,14,15,5,1
11068,1.46,46,5,7,3
11067,1.58,32,6,5,3
11066,2,40,8,12,0
11065,1.8,23,6,3,5
11064,1.24,107,5,12,6
11063,1.5,38,7,5,4
11062,3.5,11,6,5,1
11061,1.29,66,5,7,8
11060,1.33,41,4,5,10
11059,1.15,185,4,22,19
11058,3,8,13,2,0
11057,1.57,35,5,3,4
11056,2.75,6,6,2,1
11055,1.32,85,5,14,7
11054,2,18,6,4,2
11053,1.82,23,6,6,1
11052,2.2,19,6,6,2
11051,3.33,5,25,3,0
11050,1.42,41,5,4,4
11049,1.89,22,6,6,1
11048,1.5,37,4,6,2
11047,1.25,73,6,11,5
11046,1.88,19,13,5,1
11045,1.36,52,8,4,5
11044,1.67,27,5,3,2
11043,3.2,6,10,4,0
11042,1.8,24,7,3,5
11041,1.86,14,14,3,2
11040,1.86,19,9,2,2
11039,1.58,33,9,3,3
11038,1.29,79,9,11,5
11037,1.3,29,4,4,9
11036,1.78,23,10,5,1
11035,2.5,3,10,1,1
11034,1.75,21,11,3,3
11033,1.89,22,8,5,2
11032,1.73,22,10,7,1
11031,1.92,28,6,5,1
11030,1.73,23,6,5,1
11029,1.64,36,8,8,2
11028,1.91,23,11,4,2
11027,1.36,51,5,7,5
11026,2,20,8,4,2
11025,2.29,10,11,5,1
11024,1.94,48,11,11,0
11023,1.71,14,12,3,1
11022,2,22,6,5,1
11021,1.7,22,11,6,2
11020,2,19,12,6,1
11019,2.2,6,11,1,1
11018,1.33,49,7,8,2
11017,1.88,19,11,4,2
11016,1.25,94,6,20,6
11015,1.6,33,8,5,3
11014,2.67,6,15,2,1
11013,1.54,36,6,6,2
11012,3,3,9,1,1
11011,1.91,23,6,6,1
11010,1.17,224,8,44,7
11009,1.9,18,7,3,3
11008,1.07,45,4,5,10
11007,3,12,7,5,1
11006,1.8,21,6,4,2
11004,1.62,33,5,8,3
11003,2.33,16,11,6,0
11002,3.5,4,23,2,0
11001,2.3,19,8,3,1
11000,1.21,89,5,14,8
10999,1.75,31,5,4,2
10998,1.46,46,6,8,2
10997,1.41,76,6,10,6
10996,1.5,40,10,6,4
10995,1.4,38,4,3,8
10994,1.54,32,9,5,4
10993,1.89,19,9,4,1
10992,1.64,40,7,10,0
10991,1.71,22,10,2,3
10990,1.75,29,8,4,1
10989,1.88,16,12,4,1
10988,3.5,5,25,1,0
10987,1.5,36,8,4,2
10986,3.17,7,16,4,0
10985,1.9,21,10,5,2
10984,2.25,17,6,6,1
10983,1.25,65,9,8,2
10981,3,8,15,3,0
10980,1.15,229,4,34,20
10979,2.5,11,8,2,3
10976,1.9,21,5,6,0
10975,1.75,29,4,4,3
10974,1.29,73,10,8,4
10973,1.17,197,8,41,7
10972,2.14,12,10,4,2
10971,1.6,28,10,6,2
10970,1.24,165,4,23,13
10969,2.5,9,7,3,1
10968,1.26,96,6,12,6
10967,1.34,245,6,48,11
10966,1.5,35,6,7,3
10965,1.23,103,5,22,7
10964,1.38,46,10,5,4
10963,1.7,25,12,4,3
10962,2,16,9,4,4
10961,1.29,65,5,8,7
10960,2,12,14,2,3
10959,1.29,71,6,9,9
10958,1.78,21,8,4,3
10957,2.22,14,8,4,0
10951,1.6,80,6,2,4
10950,1.88,18,8,5,1
10949,2.83,12,14,4,0
10948,1.58,33,5,6,3
10947,1.36,50,5,4,5
10946,1.55,30,11,4,3
10945,3,6,15,2,1
10944,1.91,19,7,4,2
10943,1.44,63,6,8,6
10942,1.78,20,7,5,1
10941,1.33,55,4,6,3
10940,1.25,120,6,18,7
10939,1.17,172,6,30,7
10938,1.33,70,6,10,5
10937,1.19,117,4,13,13
10936,2,17,7,4,2
10935,1.41,73,7,14,5
10934,2.11,16,10,6,0
10933,1.58,40,7,7,2
10932,1.46,35,6,5,3
10931,1.38,45,7,5,5
10930,1.24,102,5,20,9
10929,2.11,13,7,4,0
10928,1.89,18,11,5,1
10927,1.33,55,7,9,4
10926,3.5,3,17,1,0
10925,3,4,19,1,0
10924,2,20,9,9,1
10923,2.1,16,8,4,0
10922,2.11,15,10,5,0
10921,1.47,61,5,11,4
10920,4,2,10,0,0
