puzzleid,date_posted,title,author,difficulty,players_solved,mean_sol_len,mode_sol_len,min_sol_len,likes,dislikes,datetime_posted,year,month,day,yearindays,monthindays,day_posted
12796,3/31/2020 8:30:11 PM,XOR Lines,scorpio,3,3,19,20,17,2,0,2020-03-31 20:30:11,12,3,31,4382,60,4473
12795,3/31/2020 12:06:12 PM,Bushnell's Law,axorion,3.8,6,29.3333333333,0,25,5,0,2020-03-31 12:06:12,12,3,31,4382,60,4473
12794,3/30/2020 3:03:31 PM,Test,MrMartin,1.75,12,9.166666667,8,6,4,1,2020-03-30 15:03:31,12,3,30,4382,60,4472
12793,3/27/2020 3:28:42 PM,tbh i dont know???,LACav,1.86,12,23.5,14,14,4,1,2020-03-27 15:28:42,12,3,27,4382,60,4469
12792,3/27/2020 12:21:23 PM,Just Halfs,drmazhar,3.2,7,15.7142857143,16,15,5,0,2020-03-27 12:21:23,12,3,27,4382,60,4469
12789,3/27/2020 12:35:09 AM,Nighthawk,scorpio,4,3,17.3333333333,18,16,2,0,2020-03-27 00:35:09,12,3,27,4382,60,4469
12788,3/26/2020 9:37:07 AM,Pop At Green,drmazhar,3,3,22,0,19,1,0,2020-03-26 09:37:07,12,3,26,4382,60,4468
12787,3/25/2020 4:33:59 PM,1998,axorion,3,2,17.5,0,17,1,0,2020-03-25 16:33:59,12,3,25,4382,60,4467
12786,3/24/2020 7:52:55 AM,taiwan is not chinese,jimmyfu,1.11,17,14.588235294,13,13,2,1,2020-03-24 07:52:55,12,3,24,4382,60,4466
12785,3/22/2020 7:09:59 PM,Antclockwise spiral,drmazhar,3.5,5,12,12,12,2,0,2020-03-22 19:09:59,12,3,22,4382,60,4464
12784,3/22/2020 12:39:28 PM,Corona Dispersion Algorithm,drmazhar,2,7,15.4285714286,15,14,2,0,2020-03-22 12:39:28,12,3,22,4382,60,4464
12783,3/21/2020 6:55:04 PM,Distance or Direction,drmazhar,2.75,8,9,9,9,2,0,2020-03-21 18:55:04,12,3,21,4382,60,4463
12782,3/20/2020 2:59:10 AM,Heavy Dumbbell III,drmazhar,2.5,3,21.6666666667,22,21,1,0,2020-03-20 02:59:10,12,3,20,4382,60,4462
12781,3/19/2020 4:40:43 PM,Monochromatic Sandglass,scorpio,3.67,5,17.6,17,16,3,0,2020-03-19 16:40:43,12,3,19,4382,60,4461
12780,3/19/2020 2:26:12 AM,Sandglass,scorpio,2.75,7,12.1428571429,12,11,4,0,2020-03-19 02:26:12,12,3,19,4382,60,4461
